path,paragraph_words_before,paragraphs_over_60_words,longest_paragraph_words
/,1008,2,91
/24-hour-clock-converter/,748,3,70
/24-hour-clock-converter/0000/,368,1,77
/24-hour-clock-converter/0030/,368,1,77
/24-hour-clock-converter/0100/,342,1,61
/24-hour-clock-converter/0130/,338,1,61
/24-hour-clock-converter/0200/,337,1,61
/24-hour-clock-converter/0230/,333,1,61
/24-hour-clock-converter/0300/,334,1,61
/24-hour-clock-converter/0330/,330,1,61
/24-hour-clock-converter/0400/,329,1,61
/24-hour-clock-converter/0430/,325,1,61
/24-hour-clock-converter/0500/,332,1,61
/24-hour-clock-converter/0530/,328,1,61
/24-hour-clock-converter/0600/,336,1,61
/24-hour-clock-converter/0630/,332,1,61
/24-hour-clock-converter/0700/,335,1,61
/24-hour-clock-converter/0730/,331,1,61
/24-hour-clock-converter/0800/,336,1,61
/24-hour-clock-converter/0830/,332,1,61
/24-hour-clock-converter/0900/,333,1,61
/24-hour-clock-converter/0930/,329,1,61
/24-hour-clock-converter/1000/,329,1,61
/24-hour-clock-converter/1030/,325,1,61
/24-hour-clock-converter/1100/,339,1,61
/24-hour-clock-converter/1130/,335,1,61
/24-hour-clock-converter/1200/,333,0,54
/24-hour-clock-converter/1230/,335,0,54
/24-hour-clock-converter/1300/,329,0,51
/24-hour-clock-converter/1330/,325,0,51
/24-hour-clock-converter/1400/,323,0,51
/24-hour-clock-converter/1430/,319,0,51
/24-hour-clock-converter/1500/,324,0,51
/24-hour-clock-converter/1530/,320,0,51
/24-hour-clock-converter/1600/,321,0,51
/24-hour-clock-converter/1630/,317,0,51
/24-hour-clock-converter/1700/,325,0,51
/24-hour-clock-converter/1730/,321,0,51
/24-hour-clock-converter/1800/,322,0,51
/24-hour-clock-converter/1830/,318,0,51
/24-hour-clock-converter/1900/,321,0,51
/24-hour-clock-converter/1930/,317,0,51
/24-hour-clock-converter/2000/,321,0,51
/24-hour-clock-converter/2030/,317,0,51
/24-hour-clock-converter/2100/,321,0,51
/24-hour-clock-converter/2130/,317,0,51
/24-hour-clock-converter/2200/,322,0,51
/24-hour-clock-converter/2230/,318,0,51
/24-hour-clock-converter/2300/,328,0,51
/24-hour-clock-converter/2330/,324,0,51
/about/,1421,9,109
/about/work-with-us/,605,4,72
/admin/reports/,12,0,12
/admin/stats/,192,1,78
/alarm-clock/,448,1,111
/alarm-clock/1-30-am/,312,0,47
/alarm-clock/1-30-pm/,315,0,47
/alarm-clock/1-am/,314,0,47
/alarm-clock/1-pm/,316,0,47
/alarm-clock/10-30-am/,319,0,47
/alarm-clock/10-30-pm/,314,0,47
/alarm-clock/10-am/,319,0,47
/alarm-clock/10-pm/,311,0,47
/alarm-clock/11-30-am/,322,0,47
/alarm-clock/11-30-pm/,316,0,47
/alarm-clock/11-am/,320,0,47
/alarm-clock/11-pm/,313,0,47
/alarm-clock/12-30-am/,313,0,47
/alarm-clock/12-30-pm/,313,0,47
/alarm-clock/12-am/,315,0,47
/alarm-clock/12-pm/,314,0,47
/alarm-clock/2-30-am/,312,0,47
/alarm-clock/2-30-pm/,311,0,47
/alarm-clock/2-am/,314,0,47
/alarm-clock/2-pm/,315,0,47
/alarm-clock/3-30-am/,312,0,47
/alarm-clock/3-30-pm/,312,0,47
/alarm-clock/3-am/,314,0,47
/alarm-clock/3-pm/,315,0,47
/alarm-clock/4-30-am/,321,0,47
/alarm-clock/4-30-pm/,313,0,47
/alarm-clock/4-am/,322,0,47
/alarm-clock/4-pm/,314,0,47
/alarm-clock/5-30-am/,326,0,47
/alarm-clock/5-30-pm/,310,0,47
/alarm-clock/5-am/,325,0,47
/alarm-clock/5-pm/,309,0,47
/alarm-clock/6-30-am/,322,0,47
/alarm-clock/6-30-pm/,314,0,47
/alarm-clock/6-am/,322,0,47
/alarm-clock/6-pm/,310,0,47
/alarm-clock/7-30-am/,323,0,47
/alarm-clock/7-30-pm/,312,0,47
/alarm-clock/7-am/,320,0,47
/alarm-clock/7-pm/,313,0,47
/alarm-clock/8-30-am/,321,0,47
/alarm-clock/8-30-pm/,312,0,47
/alarm-clock/8-am/,321,0,47
/alarm-clock/8-pm/,314,0,47
/alarm-clock/9-30-am/,320,0,47
/alarm-clock/9-30-pm/,315,0,47
/alarm-clock/9-am/,323,0,47
/alarm-clock/9-pm/,313,0,47
/alarm-clock/about/,391,2,107
/alarm-clock/warnings/,401,3,96
/astronomy-countdowns/,110,0,38
/astronomy-countdowns/geminids/,494,2,104
/astronomy-countdowns/perseids/,481,2,109
/astronomy-countdowns/popular/,143,0,48
/astronomy-countdowns/solar-eclipse/,507,2,88
/birthday-countdowns/,111,0,38
/birthday-countdowns/abraham-lincoln/,354,0,53
/birthday-countdowns/adele/,543,3,79
/birthday-countdowns/ariana-grande/,586,3,90
/birthday-countdowns/beyonce/,573,3,89
/birthday-countdowns/bill-gates/,540,3,84
/birthday-countdowns/billie-eilish/,554,3,81
/birthday-countdowns/bruno-mars/,555,3,83
/birthday-countdowns/cristiano-ronaldo/,544,3,81
/birthday-countdowns/dolly-parton/,556,3,84
/birthday-countdowns/dr-seuss/,538,3,76
/birthday-countdowns/dua-lipa/,523,3,77
/birthday-countdowns/dude-perfect/,556,3,78
/birthday-countdowns/dwayne-johnson/,527,3,78
/birthday-countdowns/ed-sheeran/,542,3,84
/birthday-countdowns/emma-watson/,537,3,79
/birthday-countdowns/george-washington/,366,0,50
/birthday-countdowns/gordon-ramsay/,552,3,83
/birthday-countdowns/harry-styles/,544,3,80
/birthday-countdowns/jennifer-lawrence/,505,3,75
/birthday-countdowns/keanu-reeves/,480,3,82
/birthday-countdowns/king-charles/,543,3,82
/birthday-countdowns/lady-gaga/,563,3,85
/birthday-countdowns/lebron-james/,549,3,85
/birthday-countdowns/leonardo-dicaprio/,524,3,78
/birthday-countdowns/lionel-messi/,556,3,91
/birthday-countdowns/mark-rober/,554,3,81
/birthday-countdowns/martin-luther-king-jr/,601,3,84
/birthday-countdowns/michael-jordan/,533,3,80
/birthday-countdowns/mrbeast/,511,3,75
/birthday-countdowns/nick-digiovanni/,541,3,76
/birthday-countdowns/olivia-rodrigo/,503,2,70
/birthday-countdowns/oprah-winfrey/,531,3,78
/birthday-countdowns/patrick-mahomes/,543,3,87
/birthday-countdowns/popular/,143,0,48
/birthday-countdowns/roger-federer/,508,3,72
/birthday-countdowns/ryan-reynolds/,537,3,78
/birthday-countdowns/ryan-trahan/,567,3,88
/birthday-countdowns/scarlett-johansson/,542,3,81
/birthday-countdowns/selena-gomez/,569,3,84
/birthday-countdowns/serena-williams/,544,3,80
/birthday-countdowns/shakira/,516,3,74
/birthday-countdowns/shohei-ohtani/,541,3,84
/birthday-countdowns/simone-biles/,537,3,78
/birthday-countdowns/stephen-curry/,511,3,73
/birthday-countdowns/taylor-swift/,590,1,72
